Latitude,Longitude,Stop Name,Stop Status
40.688231,-73.932896,GATES AV/STUYVESANT AV,approaching
40.693866,-73.990441,N/A,N/A
40.686428,-73.967997,GREENE AV/WASHINGTON AV,< 1 stop away
